250V_1	250C_1	200V_1	200C_1	166V_1	166C_1	140V_1	140C_1	100V_1	100C_1	050V_1	050C_1	036V_1	036C_1	025V_1	025C_1	020V_1	020C_1	017V_1	017C_1	014V_1	014C_1	010V_1	010C_1
-0.6667	-3.87E-07	0	1.62E-11	0.4	2.82E-08	0.7879	1.20E-07	0.8	1.31E-07	0.8	1.05E-07	0.8	7.95E-08	0.8	5.38E-08	0.8	3.36E-08	0.8	2.82E-08	0.8	2.02E-08	0.8	1.30E-08
-0.7333	-5.17E-07	-0.05	-2.26E-09	0.36	2.26E-08	0.7576	1.06E-07	0.82	1.39E-07	0.82	1.13E-07	0.82	8.53E-08	0.82	5.83E-08	0.82	3.60E-08	0.82	2.92E-08	0.82	2.15E-08	0.82	1.41E-08
-0.8	-6.90E-07	-0.1	-5.39E-09	0.32	1.79E-08	0.7273	9.26E-08	0.84	1.49E-07	0.84	1.20E-07	0.84	9.14E-08	0.84	6.38E-08	0.84	3.91E-08	0.84	3.22E-08	0.84	2.32E-08	0.84	1.54E-08
-0.8667	-9.07E-07	-0.15	-9.71E-09	0.28	1.42E-08	0.697	8.21E-08	0.86	1.57E-07	0.86	1.30E-07	0.86	9.70E-08	0.86	6.66E-08	0.86	4.24E-08	0.86	3.54E-08	0.86	2.50E-08	0.86	1.72E-08
-0.9333	-1.08E-06	-0.2	-1.60E-08	0.24	1.11E-08	0.6667	7.12E-08	0.88	1.65E-07	0.88	1.36E-07	0.88	1.03E-07	0.88	7.21E-08	0.88	4.62E-08	0.88	3.82E-08	0.88	2.73E-08	0.88	1.86E-08
-1	-1.33E-06	-0.25	-2.36E-08	0.2	8.26E-09	0.6364	6.13E-08	0.9	1.75E-07	0.9	1.45E-07	0.9	1.08E-07	0.9	7.61E-08	0.9	4.99E-08	0.9	4.13E-08	0.9	3.04E-08	0.9	2.05E-08
-1.0667	-1.74E-06	-0.3	-3.33E-08	0.16	5.86E-09	0.6061	5.31E-08	0.92	1.83E-07	0.92	1.53E-07	0.92	1.14E-07	0.92	8.25E-08	0.92	5.39E-08	0.92	4.45E-08	0.92	3.20E-08	0.92	2.24E-08
-1.1333	-2.81E-06	-0.35	-4.45E-08	0.12	3.90E-09	0.5758	4.55E-08	0.94	1.93E-07	0.94	1.61E-07	0.94	1.21E-07	0.94	8.78E-08	0.94	5.90E-08	0.94	4.84E-08	0.94	3.47E-08	0.94	2.54E-08
-1.2	-5.14E-06	-0.4	-6.06E-08	0.08	2.44E-09	0.5455	3.88E-08	0.96	2.02E-07	0.96	1.71E-07	0.96	1.30E-07	0.96	9.34E-08	0.96	6.35E-08	0.96	5.29E-08	0.96	3.76E-08	0.96	2.76E-08
-1.2667	-8.93E-06	-0.45	-8.08E-08	0.04	1.14E-09	0.5152	3.29E-08	0.98	2.12E-07	0.98	1.77E-07	0.98	1.37E-07	0.98	1.01E-07	0.98	6.88E-08	0.98	5.66E-08	0.98	4.12E-08	0.98	3.04E-08
-1.3333	-1.66E-05	-0.5	-1.07E-07	0	9.86E-12	0.4848	2.76E-08	1	2.22E-07	1	1.87E-07	1	1.43E-07	1	1.05E-07	1	7.46E-08	1	6.23E-08	1	4.49E-08	1	3.32E-08
-1.4	-2.26E-05	-0.55	-1.39E-07	-0.04	-1.01E-09	0.4545	2.30E-08	0.98	2.04E-07	0.98	1.70E-07	0.98	1.31E-07	0.98	9.39E-08	0.98	6.86E-08	0.98	5.96E-08	0.98	4.00E-08	0.98	3.07E-08
-1.4667	-2.87E-05	-0.6	-1.80E-07	-0.08	-2.63E-09	0.4242	1.92E-08	0.96	1.89E-07	0.96	1.56E-07	0.96	1.19E-07	0.96	8.59E-08	0.96	6.20E-08	0.96	5.34E-08	0.96	3.67E-08	0.96	2.75E-08
-1.5333	-3.40E-05	-0.65	-2.41E-07	-0.12	-4.57E-09	0.3939	1.59E-08	0.94	1.75E-07	0.94	1.44E-07	0.94	1.09E-07	0.94	7.99E-08	0.94	5.65E-08	0.94	4.84E-08	0.94	3.30E-08	0.94	2.44E-08
-1.6	-3.72E-05	-0.7	-3.11E-07	-0.16	-6.90E-09	0.3636	1.33E-08	0.92	1.62E-07	0.92	1.34E-07	0.92	1.01E-07	0.92	7.24E-08	0.92	5.06E-08	0.92	4.25E-08	0.92	2.97E-08	0.92	2.27E-08
