250V_1	250C_1	200V_1	200C_1	166V_1	166C_1	140V_1	140C_1	100V_1	100C_1	050V_1	050C_1	036V_1	036C_1	025V_1	025C_1	020V_1	020C_1	017V_1	017C_1	014V_1	014C_1	010V_1	010C_1
								-1.84	-4.32E-05	-1.84	-5.88E-05	-1.84	-6.79E-05	-1.84	-6.38E-05	-1.84	-5.18E-05	-1.84	-4.27E-05	-1.84	-3.19E-05	-1.84	-2.15E-05
								-1.82	-4.04E-05	-1.82	-5.53E-05	-1.82	-6.34E-05	-1.82	-5.95E-05	-1.82	-4.81E-05	-1.82	-3.96E-05	-1.82	-2.95E-05	-1.82	-2.00E-05
								-1.8	-3.80E-05	-1.8	-5.20E-05	-1.8	-5.95E-05	-1.8	-5.54E-05	-1.8	-4.46E-05	-1.8	-3.67E-05	-1.8	-2.74E-05	-1.8	-1.86E-05
								-1.78	-3.58E-05	-1.78	-4.90E-05	-1.78	-5.53E-05	-1.78	-5.15E-05	-1.78	-4.14E-05	-1.78	-3.39E-05	-1.78	-2.55E-05	-1.78	-1.72E-05
								-1.76	-3.39E-05	-1.76	-4.59E-05	-1.76	-5.16E-05	-1.76	-4.80E-05	-1.76	-3.82E-05	-1.76	-3.13E-05	-1.76	-2.36E-05	-1.76	-1.60E-05
								-1.74	-3.17E-05	-1.74	-4.32E-05	-1.74	-4.80E-05	-1.74	-4.45E-05	-1.74	-3.55E-05	-1.74	-2.88E-05	-1.74	-2.17E-05	-1.74	-1.48E-05
								-1.72	-3.00E-05	-1.72	-4.08E-05	-1.72	-4.48E-05	-1.72	-4.11E-05	-1.72	-3.28E-05	-1.72	-2.66E-05	-1.72	-2.01E-05	-1.72	-1.37E-05
								-1.7	-2.82E-05	-1.7	-3.81E-05	-1.7	-4.17E-05	-1.7	-3.81E-05	-1.7	-3.03E-05	-1.7	-2.45E-05	-1.7	-1.85E-05	-1.7	-1.26E-05
								-1.68	-2.67E-05	-1.68	-3.59E-05	-1.68	-3.91E-05	-1.68	-3.55E-05	-1.68	-2.80E-05	-1.68	-2.27E-05	-1.68	-1.71E-05	-1.68	-1.17E-05
								-1.66	-2.51E-05	-1.66	-3.38E-05	-1.66	-3.63E-05	-1.66	-3.30E-05	-1.66	-2.59E-05	-1.66	-2.10E-05	-1.66	-1.58E-05	-1.66	-1.07E-05
								-1.64	-2.37E-05	-1.64	-3.17E-05	-1.64	-3.40E-05	-1.64	-3.08E-05	-1.64	-2.40E-05	-1.64	-1.94E-05	-1.64	-1.46E-05	-1.64	-6.31E-06
								-1.62	-2.25E-05	-1.62	-2.98E-05	-1.62	-3.19E-05	-1.62	-2.87E-05	-1.62	-2.22E-05	-1.62	-1.80E-05	-1.62	-1.35E-05	-1.62	-6.38E-06
								-1.6	-2.15E-05	-1.6	-2.82E-05	-1.6	-3.00E-05	-1.6	-2.66E-05	-1.6	-2.06E-05	-1.6	-1.68E-05	-1.6	-1.25E-05	-1.6	-6.15E-06
								-1.58	-2.03E-05	-1.58	-2.66E-05	-1.58	-2.80E-05	-1.58	-2.47E-05	-1.58	-1.91E-05	-1.58	-1.56E-05	-1.58	-1.17E-05	-1.58	-5.87E-06
								-1.56	-1.90E-05	-1.56	-2.53E-05	-1.56	-2.62E-05	-1.56	-2.30E-05	-1.56	-1.78E-05	-1.56	-1.47E-05	-1.56	-1.08E-05	-1.56	-5.55E-06
								-1.54	-1.82E-05	-1.54	-2.38E-05	-1.54	-2.45E-05	-1.54	-2.16E-05	-1.54	-1.66E-05	-1.54	-1.36E-05	-1.54	-1.00E-05	-1.54	-5.24E-06
								-1.52	-1.72E-05	-1.52	-2.26E-05	-1.52	-2.31E-05	-1.52	-2.02E-05	-1.52	-1.55E-05	-1.52	-1.27E-05	-1.52	-7.59E-06	-1.52	-4.94E-06
								-1.5	-1.63E-05	-1.5	-2.16E-05	-1.5	-2.17E-05	-1.5	-1.89E-05	-1.5	-1.45E-05	-1.5	-1.18E-05	-1.5	-6.90E-06	-1.5	-4.64E-06
								-1.48	-1.55E-05	-1.48	-2.04E-05	-1.48	-2.06E-05	-1.48	-1.77E-05	-1.48	-1.35E-05	-1.48	-1.10E-05	-1.48	-6.38E-06	-1.48	-4.32E-06
								-1.46	-1.48E-05	-1.46	-1.93E-05	-1.46	-1.93E-05	-1.46	-1.67E-05	-1.46	-1.26E-05	-1.46	-1.03E-05	-1.46	-6.02E-06	-1.46	-4.02E-06
								-1.44	-1.40E-05	-1.44	-1.82E-05	-1.44	-1.83E-05	-1.44	-1.56E-05	-1.44	-1.18E-05	-1.44	-8.45E-06	-1.44	-5.64E-06	-1.44	-3.78E-06
								-1.42	-1.33E-05	-1.42	-1.73E-05	-1.42	-1.71E-05	-1.42	-1.46E-05	-1.42	-1.10E-05	-1.42	-7.48E-06	-1.42	-5.35E-06	-1.42	-3.52E-06
								-1.4	-1.28E-05	-1.4	-1.64E-05	-1.4	-1.62E-05	-1.4	-1.38E-05	-1.4	-1.03E-05	-1.4	-7.02E-06	-1.4	-4.98E-06	-1.4	-3.29E-06
								-1.38	-1.21E-05	-1.38	-1.55E-05	-1.38	-1.52E-05	-1.38	-1.29E-05	-1.38	-8.82E-06	-1.38	-6.54E-06	-1.38	-4.60E-06	-1.38	-3.08E-06
								-1.36	-1.15E-05	-1.36	-1.47E-05	-1.36	-1.43E-05	-1.36	-1.20E-05	-1.36	-7.66E-06	-1.36	-6.09E-06	-1.36	-4.26E-06	-1.36	-2.84E-06
								-1.34	-1.09E-05	-1.34	-1.40E-05	-1.34	-1.35E-05	-1.34	-1.13E-05	-1.34	-7.07E-06	-1.34	-5.61E-06	-1.34	-4.03E-06	-1.34	-2.62E-06
								-1.32	-1.05E-05	-1.32	-1.31E-05	-1.32	-1.26E-05	-1.32	-1.06E-05	-1.32	-6.56E-06	-1.32	-5.23E-06	-1.32	-3.73E-06	-1.32	-2.41E-06
								-1.3	-9.90E-06	-1.3	-1.25E-05	-1.3	-1.19E-05	-1.3	-9.57E-06	-1.3	-6.06E-06	-1.3	-4.85E-06	-1.3	-3.43E-06	-1.3	-2.23E-06
								-1.28	-8.87E-06	-1.28	-1.18E-05	-1.28	-1.12E-05	-1.28	-8.13E-06	-1.28	-5.63E-06	-1.28	-4.52E-06	-1.28	-3.16E-06	-1.28	-2.04E-06
								-1.26	-8.35E-06	-1.26	-1.12E-05	-1.26	-1.05E-05	-1.26	-7.58E-06	-1.26	-5.19E-06	-1.26	-4.26E-06	-1.26	-2.91E-06	-1.26	-1.86E-06
								-1.24	-7.92E-06	-1.24	-1.06E-05	-1.24	-9.61E-06	-1.24	-7.01E-06	-1.24	-4.81E-06	-1.24	-3.93E-06	-1.24	-2.67E-06	-1.24	-1.69E-06
								-1.22	-7.38E-06	-1.22	-1.00E-05	-1.22	-8.29E-06	-1.22	-6.50E-06	-1.22	-4.45E-06	-1.22	-3.61E-06	-1.22	-2.45E-06	-1.22	-1.54E-06
								-1.2	-7.03E-06	-1.2	-9.52E-06	-1.2	-7.63E-06	-1.2	-5.95E-06	-1.2	-4.06E-06	-1.2	-3.26E-06	-1.2	-2.22E-06	-1.2	-1.39E-06
								-1.18	-6.67E-06	-1.18	-8.36E-06	-1.18	-7.04E-06	-1.18	-5.50E-06	-1.18	-3.76E-06	-1.18	-2.98E-06	-1.18	-2.00E-06	-1.18	-1.23E-06
								-1.16	-6.34E-06	-1.16	-7.73E-06	-1.16	-6.49E-06	-1.16	-5.07E-06	-1.16	-3.43E-06	-1.16	-2.70E-06	-1.16	-1.80E-06	-1.16	-1.10E-06
								-1.14	-5.97E-06	-1.14	-7.16E-06	-1.14	-6.05E-06	-1.14	-4.66E-06	-1.14	-3.13E-06	-1.14	-2.44E-06	-1.14	-1.63E-06	-1.14	-9.45E-07
								-1.12	-5.61E-06	-1.12	-6.66E-06	-1.12	-5.58E-06	-1.12	-4.28E-06	-1.12	-2.84E-06	-1.12	-2.21E-06	-1.12	-1.45E-06	-1.12	-8.55E-07
								-1.1	-5.20E-06	-1.1	-6.18E-06	-1.1	-5.16E-06	-1.1	-3.89E-06	-1.1	-2.59E-06	-1.1	-1.97E-06	-1.1	-1.30E-06	-1.1	-7.50E-07
								-1.08	-4.86E-06	-1.08	-5.76E-06	-1.08	-4.75E-06	-1.08	-3.56E-06	-1.08	-2.32E-06	-1.08	-1.77E-06	-1.08	-1.17E-06	-1.08	-6.64E-07
								-1.06	-4.57E-06	-1.06	-5.32E-06	-1.06	-4.30E-06	-1.06	-3.26E-06	-1.06	-2.11E-06	-1.06	-1.56E-06	-1.06	-1.02E-06	-1.06	-5.79E-07
								-1.04	-4.23E-06	-1.04	-4.86E-06	-1.04	-3.91E-06	-1.04	-2.95E-06	-1.04	-1.91E-06	-1.04	-1.40E-06	-1.04	-9.19E-07	-1.04	-5.22E-07
								-1.02	-3.89E-06	-1.02	-4.52E-06	-1.02	-3.57E-06	-1.02	-2.65E-06	-1.02	-1.70E-06	-1.02	-1.26E-06	-1.02	-8.05E-07	-1.02	-4.68E-07
								-1	-3.60E-06	-1	-4.16E-06	-1	-3.23E-06	-1	-2.37E-06	-1	-1.54E-06	-1	-1.11E-06	-1	-7.10E-07	-1	-4.09E-07
								-0.98	-3.31E-06	-0.98	-3.78E-06	-0.98	-2.92E-06	-0.98	-2.14E-06	-0.98	-1.37E-06	-0.98	-9.89E-07	-0.98	-6.35E-07	-0.98	-3.60E-07
								-0.96	-3.04E-06	-0.96	-3.44E-06	-0.96	-2.65E-06	-0.96	-1.94E-06	-0.96	-1.22E-06	-0.96	-8.51E-07	-0.96	-5.59E-07	-0.96	-3.14E-07
								-0.94	-2.77E-06	-0.94	-3.11E-06	-0.94	-2.41E-06	-0.94	-1.74E-06	-0.94	-1.10E-06	-0.94	-7.69E-07	-0.94	-5.03E-07	-0.94	-2.75E-07
								-0.92	-2.51E-06	-0.92	-2.85E-06	-0.92	-2.15E-06	-0.92	-1.55E-06	-0.92	-9.64E-07	-0.92	-6.76E-07	-0.92	-4.45E-07	-0.92	-2.46E-07
								-0.9	-2.30E-06	-0.9	-2.57E-06	-0.9	-1.93E-06	-0.9	-1.40E-06	-0.9	-8.57E-07	-0.9	-6.08E-07	-0.9	-3.88E-07	-0.9	-2.28E-07
								-0.88	-2.08E-06	-0.88	-2.34E-06	-0.88	-1.74E-06	-0.88	-1.25E-06	-0.88	-7.55E-07	-0.88	-5.43E-07	-0.88	-3.50E-07	-0.88	-1.95E-07
								-0.86	-1.91E-06	-0.86	-2.10E-06	-0.86	-1.56E-06	-0.86	-1.11E-06	-0.86	-6.77E-07	-0.86	-4.84E-07	-0.86	-3.16E-07	-0.86	-1.72E-07
								-0.84	-1.68E-06	-0.84	-1.87E-06	-0.84	-1.39E-06	-0.84	-9.77E-07	-0.84	-6.09E-07	-0.84	-4.40E-07	-0.84	-2.79E-07	-0.84	-1.51E-07
								-0.82	-1.52E-06	-0.82	-1.68E-06	-0.82	-1.25E-06	-0.82	-8.65E-07	-0.82	-5.50E-07	-0.82	-3.80E-07	-0.82	-2.36E-07	-0.82	-1.37E-07
								-0.8	-1.35E-06	-0.8	-1.49E-06	-0.8	-1.10E-06	-0.8	-7.65E-07	-0.8	-4.79E-07	-0.8	-3.41E-07	-0.8	-2.26E-07	-0.8	-1.21E-07
								-0.78	-1.19E-06	-0.78	-1.33E-06	-0.78	-9.60E-07	-0.78	-6.85E-07	-0.78	-4.24E-07	-0.78	-3.07E-07	-0.78	-1.97E-07	-0.78	-1.06E-07
								-0.76	-1.05E-06	-0.76	-1.18E-06	-0.76	-8.57E-07	-0.76	-6.07E-07	-0.76	-3.72E-07	-0.76	-2.74E-07	-0.76	-1.75E-07	-0.76	-9.43E-08
								-0.74	-9.07E-07	-0.74	-1.03E-06	-0.74	-7.61E-07	-0.74	-5.47E-07	-0.74	-3.42E-07	-0.74	-2.40E-07	-0.74	-1.54E-07	-0.74	-8.40E-08
								-0.72	-8.21E-07	-0.72	-8.96E-07	-0.72	-6.74E-07	-0.72	-4.78E-07	-0.72	-2.97E-07	-0.72	-2.20E-07	-0.72	-1.40E-07	-0.72	-7.35E-08
								-0.7	-7.00E-07	-0.7	-7.85E-07	-0.7	-5.98E-07	-0.7	-4.22E-07	-0.7	-2.57E-07	-0.7	-1.93E-07	-0.7	-1.23E-07	-0.7	-6.54E-08
								-0.68	-6.18E-07	-0.68	-6.94E-07	-0.68	-5.26E-07	-0.68	-3.84E-07	-0.68	-2.27E-07	-0.68	-1.68E-07	-0.68	-1.09E-07	-0.68	-5.92E-08
								-0.66	-5.36E-07	-0.66	-5.91E-07	-0.66	-4.71E-07	-0.66	-3.33E-07	-0.66	-2.04E-07	-0.66	-1.53E-07	-0.66	-9.44E-08	-0.66	-5.26E-08
								-0.64	-4.62E-07	-0.64	-5.13E-07	-0.64	-4.00E-07	-0.64	-2.92E-07	-0.64	-1.80E-07	-0.64	-1.33E-07	-0.64	-8.39E-08	-0.64	-4.73E-08
								-0.62	-3.97E-07	-0.62	-4.41E-07	-0.62	-3.48E-07	-0.62	-2.53E-07	-0.62	-1.56E-07	-0.62	-1.18E-07	-0.62	-7.64E-08	-0.62	-4.32E-08
								-0.6	-3.34E-07	-0.6	-3.84E-07	-0.6	-2.97E-07	-0.6	-2.19E-07	-0.6	-1.37E-07	-0.6	-1.01E-07	-0.6	-6.71E-08	-0.6	-3.88E-08
								-0.58	-2.82E-07	-0.58	-3.30E-07	-0.58	-2.59E-07	-0.58	-1.87E-07	-0.58	-1.20E-07	-0.58	-9.02E-08	-0.58	-5.87E-08	-0.58	-3.38E-08
								-0.56	-2.34E-07	-0.56	-2.77E-07	-0.56	-2.21E-07	-0.56	-1.61E-07	-0.56	-1.06E-07	-0.56	-7.75E-08	-0.56	-4.99E-08	-0.56	-2.94E-08
								-0.54	-1.95E-07	-0.54	-2.26E-07	-0.54	-1.90E-07	-0.54	-1.35E-07	-0.54	-8.75E-08	-0.54	-6.68E-08	-0.54	-4.41E-08	-0.54	-2.71E-08
								-0.52	-1.64E-07	-0.52	-1.94E-07	-0.52	-1.57E-07	-0.52	-1.18E-07	-0.52	-7.63E-08	-0.52	-5.81E-08	-0.52	-3.82E-08	-0.52	-2.24E-08
								-0.5	-1.35E-07	-0.5	-1.57E-07	-0.5	-1.34E-07	-0.5	-9.63E-08	-0.5	-6.65E-08	-0.5	-4.95E-08	-0.5	-3.29E-08	-0.5	-2.02E-08
								-0.48	-1.07E-07	-0.48	-1.31E-07	-0.48	-1.14E-07	-0.48	-8.10E-08	-0.48	-5.65E-08	-0.48	-4.26E-08	-0.48	-3.26E-08	-0.48	-1.71E-08
								-0.46	-8.46E-08	-0.46	-1.15E-07	-0.46	-9.25E-08	-0.46	-6.91E-08	-0.46	-4.80E-08	-0.46	-3.66E-08	-0.46	-2.60E-08	-0.46	-1.41E-08
								-0.44	-6.69E-08	-0.44	-8.78E-08	-0.44	-7.79E-08	-0.44	-5.82E-08	-0.44	-4.06E-08	-0.44	-3.23E-08	-0.44	-2.19E-08	-0.44	-1.23E-08
								-0.42	-5.25E-08	-0.42	-6.96E-08	-0.42	-6.43E-08	-0.42	-4.80E-08	-0.42	-3.45E-08	-0.42	-2.77E-08	-0.42	-1.84E-08	-0.42	-1.08E-08
								-0.4	-4.25E-08	-0.4	-5.64E-08	-0.4	-5.40E-08	-0.4	-4.04E-08	-0.4	-2.96E-08	-0.4	-2.26E-08	-0.4	-1.60E-08	-0.4	-9.29E-09
								-0.38	-3.49E-08	-0.38	-4.66E-08	-0.38	-4.48E-08	-0.38	-3.38E-08	-0.38	-2.45E-08	-0.38	-1.94E-08	-0.38	-1.24E-08	-0.38	-7.81E-09
								-0.36	-2.92E-08	-0.36	-3.84E-08	-0.36	-3.75E-08	-0.36	-2.79E-08	-0.36	-2.01E-08	-0.36	-1.66E-08	-0.36	-1.05E-08	-0.36	-6.19E-09
								-0.34	-2.31E-08	-0.34	-3.13E-08	-0.34	-3.11E-08	-0.34	-2.27E-08	-0.34	-1.60E-08	-0.34	-1.27E-08	-0.34	-9.04E-09	-0.34	-5.08E-09
								-0.32	-1.85E-08	-0.32	-2.55E-08	-0.32	-2.62E-08	-0.32	-1.83E-08	-0.32	-1.31E-08	-0.32	-1.07E-08	-0.32	-7.17E-09	-0.32	-4.35E-09
								-0.3	-1.50E-08	-0.3	-2.05E-08	-0.3	-2.14E-08	-0.3	-1.46E-08	-0.3	-1.05E-08	-0.3	-8.36E-09	-0.3	-5.73E-09	-0.3	-3.71E-09
								-0.28	-1.22E-08	-0.28	-1.66E-08	-0.28	-1.72E-08	-0.28	-1.21E-08	-0.28	-8.33E-09	-0.28	-6.56E-09	-0.28	-4.77E-09	-0.28	-3.10E-09
								-0.26	-1.02E-08	-0.26	-1.32E-08	-0.26	-1.40E-08	-0.26	-8.96E-09	-0.26	-6.55E-09	-0.26	-5.45E-09	-0.26	-3.67E-09	-0.26	-2.24E-09
								-0.24	-8.10E-09	-0.24	-1.07E-08	-0.24	-1.13E-08	-0.24	-6.96E-09	-0.24	-4.90E-09	-0.24	-4.17E-09	-0.24	-2.79E-09	-0.24	-1.76E-09
								-0.22	-6.82E-09	-0.22	-8.25E-09	-0.22	-8.35E-09	-0.22	-5.29E-09	-0.22	-3.87E-09	-0.22	-3.29E-09	-0.22	-2.40E-09	-0.22	-1.29E-09
								-0.2	-4.73E-09	-0.2	-6.29E-09	-0.2	-6.42E-09	-0.2	-4.08E-09	-0.2	-2.87E-09	-0.2	-2.53E-09	-0.2	-1.67E-09	-0.2	-9.42E-10
								-0.18	-3.80E-09	-0.18	-4.91E-09	-0.18	-4.89E-09	-0.18	-2.99E-09	-0.18	-2.19E-09	-0.18	-1.85E-09	-0.18	-1.34E-09	-0.18	-6.98E-10
								-0.16	-2.83E-09	-0.16	-3.79E-09	-0.16	-3.66E-09	-0.16	-2.20E-09	-0.16	-1.55E-09	-0.16	-1.35E-09	-0.16	-1.02E-09	-0.16	-6.01E-10
								-0.14	-2.04E-09	-0.14	-2.83E-09	-0.14	-2.88E-09	-0.14	-1.55E-09	-0.14	-1.13E-09	-0.14	-1.03E-09	-0.14	-6.99E-10	-0.14	-3.84E-10
								-0.12	-1.59E-09	-0.12	-2.13E-09	-0.12	-2.01E-09	-0.12	-1.10E-09	-0.12	-7.61E-10	-0.12	-6.35E-10	-0.12	-4.79E-10	-0.12	-2.68E-10
								-0.1	-1.16E-09	-0.1	-1.47E-09	-0.1	-1.45E-09	-0.1	-7.14E-10	-0.1	-5.23E-10	-0.1	-4.50E-10	-0.1	-3.27E-10	-0.1	-1.75E-10
								-0.08	-7.68E-10	-0.08	-1.02E-09	-0.08	-9.04E-10	-0.08	-4.73E-10	-0.08	-3.43E-10	-0.08	-3.07E-10	-0.08	-2.30E-10	-0.08	-1.18E-10
								-0.06	-4.87E-10	-0.06	-6.80E-10	-0.06	-6.29E-10	-0.06	-3.10E-10	-0.06	-2.21E-10	-0.06	-2.02E-10	-0.06	-1.48E-10	-0.06	-6.20E-11
								-0.04	-2.85E-10	-0.04	-3.99E-10	-0.04	-4.02E-10	-0.04	-1.71E-10	-0.04	-1.29E-10	-0.04	-1.14E-10	-0.04	-1.04E-10	-0.04	-3.67E-11
								-0.02	-1.06E-10	-0.02	-1.71E-10	-0.02	-1.75E-10	-0.02	-5.89E-11	-0.02	-4.82E-11	-0.02	-3.86E-11	-0.02	-2.86E-11	-0.02	-1.42E-11
								0	3.20E-11	0	2.09E-11	0	1.61E-11	0	1.15E-11	0	1.09E-11	0	9.61E-12	0	7.68E-12	0	5.69E-12
